SKU Muestra,Type,Life,Category,Safety factor,Forecast error M,Lead time (m),RLT error (%),Safety stock (days)
SKU420,HARMONIZED,50,Lip Makeup,1.48,1.37,1.03,0.23,10.33
SKU421,HARMONIZED,50,Lip Makeup,1.48,0.54,1.03,0.23,10.33
SKU422,HARMONIZED,50,Lip Makeup,1.48,0,1.03,0.23,10.33
SKU423,HARMONIZED,50,Lip Makeup,1.48,0.12,1.03,0.23,10.33
SKU424,HARMONIZED,50,Lip Makeup,1.48,0.6,1.03,0.23,10.33
SKU425,HARMONIZED,50,Lip Makeup,1.48,0.66,1.03,0.23,10.33
SKU426,HARMONIZED,50,Face Makeup,1.88,0.24,12.87,0.27,15.05
SKU427,HARMONIZED,50,Face Makeup,1.88,0.4,12.87,0.27,15.05
SKU428,HARMONIZED,50,Face Makeup,1.88,0.39,12.87,0.27,15.05
SKU429,HARMONIZED,50,Face Makeup,1.88,0.85,12.87,0.27,15.05
SKU430,HARMONIZED,50,Face Makeup,1.88,0.63,12.87,0.27,15.05
SKU431,HARMONIZED,50,Nail Makeup,1.88,0.29,1.03,0.33,18.81
SKU432,HARMONIZED,50,Nail Makeup,1.88,0.5,1.03,0.33,18.81
